RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3059,15603058,Martinez,685,France,Female,80,7,66029.87,1,1,0,17531.31,1
3060,15603059,Davis,688,Spain,Male,52,1,101789.83,2,1,1,28421.81,0
3061,15603060,Martin,694,France,Female,53,7,0.0,1,0,1,105766.94,0
3062,15603061,White,573,France,Male,58,7,172385.51,3,0,1,27626.11,0
3063,15603062,Robinson,513,Germany,Male,41,1,78951.44,2,1,0,93762.33,0
3064,15603063,Gonzalez,727,Germany,Female,45,6,0.0,2,1,0,180673.34,1
3065,15603064,Smith,578,Germany,Male,46,7,0.0,2,1,0,149368.92,0
3066,15603065,Lewis,572,France,Female,40,6,81100.34,2,1,0,149327.72,0
3067,15603066,Smith,563,France,Female,75,5,61415.66,1,1,0,83437.71,1
3068,15603067,Sanchez,760,Spain,Female,62,2,182246.27,1,1,1,134954.07,0
3069,15603068,Taylor,670,France,Female,63,10,62635.59,1,1,1,147373.48,0
3070,15603069,Brown,682,Germany,Female,48,10,0.0,2,0,1,4050.18,0
3071,15603070,Johnson,716,Germany,Male,54,2,0.0,1,1,0,162874.26,1
3072,15603071,White,645,Germany,Female,47,7,137993.82,1,1,0,178397.03,1
3073,15603072,Jones,747,France,Male,50,3,37714.86,2,1,1,24259.59,0
3074,15603073,Garcia,535,France,Male,53,9,90630.43,2,1,1,168186.02,0
3075,15603074,Harris,545,Germany,Female,50,7,43591.17,1,1,1,71656.11,1
3076,15603075,Thompson,540,Spain,Female,53,9,209846.05,1,1,0,63615.77,0
3077,15603076,Clark,690,Spain,Female,37,5,0.0,1,1,1,121004.65,0
3078,15603077,Thomas,698,France,Female,41,2,0.0,1,1,1,162438.82,0
3079,15603078,Thomas,604,France,Female,47,9,0.0,4,0,0,79368.08,0
3080,15603079,Brown,627,Spain,Female,49,1,0.0,1,1,1,126594.51,0
3081,15603080,Thomas,771,Germany,Male,49,0,163002.29,2,1,1,165737.35,0
3082,15603081,Robinson,583,Spain,Male,59,3,155165.37,2,0,1,156802.37,0
3083,15603082,Lee,678,France,Male,55,7,130193.39,1,0,1,55256.89,0
3084,15603083,Hernandez,584,Germany,Female,57,3,0.0,1,0,0,141205.93,1
3085,15603084,Clark,755,Germany,Male,46,7,52869.77,1,1,0,127516.17,0
3086,15603085,Anderson,710,Germany,Male,42,7,122514.85,1,1,0,138168.64,1
3087,15603086,Smith,515,France,Male,50,10,129949.16,1,1,1,84884.68,0
3088,15603087,Perez,624,France,Female,61,0,46923.69,2,1,1,4080.83,0
3089,15603088,Wilson,450,Germany,Female,75,5,0.0,2,1,0,68192.58,1
3090,15603089,Sanchez,736,France,Male,46,10,0.0,1,0,0,147544.3,0
3091,15603090,Anderson,846,France,Male,75,9,183404.23,2,1,1,154925.98,0
3092,15603091,Lee,440,Spain,Male,41,7,102709.17,1,1,0,173999.43,0
3093,15603092,Robinson,512,France,Male,38,7,29931.23,2,0,1,46180.46,0
3094,15603093,Lewis,666,Spain,Male,49,0,42711.4,2,1,0,130279.99,0
3095,15603094,Johnson,648,France,Female,42,7,89794.92,2,1,0,40253.13,0
3096,15603095,Ramirez,610,Germany,Female,45,8,6683.11,1,1,1,34111.15,1
3097,15603096,Lopez,483,Spain,Male,64,10,31050.16,1,1,1,140116.59,0
3098,15603097,Ramirez,681,France,Male,63,5,0.0,1,1,1,34771.33,1
3099,15603098,White,735,France,Male,55,6,105714.29,2,0,0,6464.84,1
3100,15603099,Garcia,850,France,Male,54,5,184344.55,1,1,0,121256.95,0
3101,15603100,Davis,775,France,Male,44,4,35240.45,1,1,0,6856.79,1
3102,15603101,Martinez,525,Germany,Male,50,0,107135.24,2,1,1,107345.9,1
3103,15603102,Brown,648,Spain,Male,48,1,190256.62,2,0,0,160975.26,0
3104,15603103,Lopez,706,France,Female,39,9,0.0,2,1,0,8835.34,0
3105,15603104,Rodriguez,583,France,Female,78,1,0.0,2,0,1,134008.57,1
3106,15603105,Moore,724,France,Female,49,10,0.0,1,1,1,14572.56,0
3107,15603106,Brown,717,Germany,Male,42,8,0.0,1,1,1,124549.41,0
3108,15603107,Jones,768,France,Female,39,5,18648.26,1,1,0,174204.88,0
3109,15603108,Robinson,727,Germany,Female,58,2,0.0,2,1,0,85900.89,0
3110,15603109,Ramirez,677,Germany,Male,76,2,0.0,2,1,1,75596.65,1
3111,15603110,Rodriguez,588,Germany,Male,83,9,0.0,1,1,1,164503.44,1
3112,15603111,Johnson,525,France,Male,51,9,54899.05,1,1,1,125516.4,0
3113,15603112,White,671,Germany,Male,49,1,118593.8,1,0,0,90015.92,0
3114,15603113,Brown,611,France,Male,53,6,125773.64,2,1,1,125808.55,0
3115,15603114,Davis,620,France,Female,53,0,56230.54,1,1,0,60250.12,0
3116,15603115,Robinson,757,Spain,Male,35,0,101878.97,1,0,0,182417.01,0
3117,15603116,White,781,Germany,Male,47,9,0.0,1,1,0,1293.46,1
3118,15603117,Rodriguez,531,France,Male,56,2,214823.63,1,1,0,53694.49,0
3119,15603118,Ramirez,629,France,Female,59,0,0.0,1,1,0,167665.73,0
3120,15603119,Jackson,608,France,Male,60,10,0.0,2,1,1,39796.46,0
3121,15603120,Ramirez,680,France,Female,53,2,145909.44,1,1,0,46974.39,1
3122,15603121,Anderson,432,France,Male,41,8,0.0,2,1,0,112342.74,0
3123,15603122,Perez,509,France,Male,51,6,160890.82,1,1,1,135220.37,0
3124,15603123,Brown,638,France,Female,69,8,88653.33,1,1,1,8376.12,0
3125,15603124,Jackson,725,Germany,Male,57,6,0.0,1,1,0,165658.29,1
3126,15603125,Perez,657,Germany,Male,49,10,0.0,2,0,1,113669.43,0
3127,15603126,Johnson,714,Germany,Male,85,8,0.0,2,1,1,9550.16,0
3128,15603127,Davis,668,France,Female,53,10,0.0,1,1,0,107803.72,0
3129,15603128,Robinson,772,Spain,Female,50,2,0.0,1,1,0,32772.84,0
3130,15603129,Brown,792,Spain,Male,61,6,0.0,2,1,1,28207.45,0
3131,15603130,Sanchez,576,Spain,Female,40,5,24292.75,2,0,0,112233.88,0
3132,15603131,Davis,734,Spain,Male,49,1,0.0,2,0,0,141275.64,1
3133,15603132,White,698,Spain,Female,51,5,0.0,2,1,1,57205.68,0
3134,15603133,Davis,850,Germany,Male,37,2,182639.73,1,0,0,181801.63,0
3135,15603134,Smith,573,France,Female,54,1,16796.4,2,1,1,84236.79,0
3136,15603135,Jones,638,Germany,Female,58,4,65158.47,2,1,0,73157.65,1
3137,15603136,Martinez,550,Germany,Female,46,4,0.0,2,0,0,115239.92,0
3138,15603137,Garcia,556,Germany,Male,62,10,0.0,1,1,0,156892.48,1
3139,15603138,Lopez,687,Germany,Female,66,1,68977.84,2,1,0,15984.44,1
3140,15603139,Wilson,669,France,Male,69,2,198946.02,1,1,1,169641.08,0
3141,15603140,Rodriguez,701,France,Female,41,7,0.0,2,1,1,99893.81,0
3142,15603141,Harris,699,Spain,Male,54,4,131610.38,2,1,0,104272.34,0
3143,15603142,Lee,627,Germany,Male,85,7,102261.76,1,1,0,166263.02,1
3144,15603143,Taylor,626,Germany,Male,60,9,103278.26,2,1,1,111610.06,1
3145,15603144,Williams,556,France,Male,54,3,126927.82,1,1,0,89314.4,0
3146,15603145,Harris,582,France,Female,65,3,62565.74,1,1,0,165552.88,0
3147,15603146,Lopez,644,Spain,Female,55,5,83480.65,2,0,0,192993.79,0
3148,15603147,Perez,668,Germany,Female,41,9,0.0,2,1,0,150084.35,1
3149,15603148,Thompson,718,Spain,Female,66,10,145649.58,1,1,0,182994.21,1
3150,15603149,Wilson,708,France,Female,54,4,0.0,1,1,1,155491.8,1
3151,15603150,Lewis,799,Germany,Male,75,4,104552.93,2,1,0,158040.53,1
3152,15603151,Brown,556,France,Male,41,8,0.0,1,1,1,44281.61,0
3153,15603152,Jackson,627,Germany,Male,54,5,0.0,2,1,0,185622.22,0
3154,15603153,Martin,565,France,Male,74,2,19011.11,2,1,0,22843.07,0
3155,15603154,Clark,772,France,Male,55,10,51637.55,1,1,1,106282.36,0
3156,15603155,Thompson,601,Germany,Male,62,3,117478.44,2,1,1,2582.84,1
3157,15603156,Miller,760,Spain,Male,67,8,0.0,1,1,0,72965.06,1
3158,15603157,Anderson,789,France,Male,53,5,0.0,1,1,1,137274.74,0
3159,15603158,Wilson,689,Spain,Female,44,10,0.0,1,1,0,7043.44,0
3160,15603159,Gonzalez,678,France,Male,64,7,96611.99,1,0,1,14406.86,0
3161,15603160,Lopez,653,France,Male,51,10,59162.64,1,1,0,106754.48,1
3162,15603161,Anderson,619,France,Female,35,6,141443.89,1,1,0,11778.62,1
3163,15603162,Anderson,608,France,Male,70,0,0.0,1,1,1,61193.61,1
3164,15603163,Taylor,635,Germany,Male,78,0,151466.07,1,1,1,152235.14,1
3165,15603164,Miller,825,France,Male,46,9,135719.17,1,1,1,63951.17,0
3166,15603165,Thompson,549,France,Male,53,6,0.0,1,0,1,79211.54,0
3167,15603166,White,669,Spain,Male,79,1,50585.57,1,0,0,153877.69,1
3168,15603167,Robinson,718,France,Male,74,8,69592.61,4,1,0,29706.55,1
3169,15603168,Robinson,622,Spain,Female,60,9,128714.3,1,0,0,167362.55,0
3170,15603169,Martinez,689,France,Female,72,8,0.0,2,0,0,1990.42,1
3171,15603170,Taylor,505,Germany,Male,50,1,7719.08,1,1,0,47363.4,1
3172,15603171,Lopez,777,France,Male,39,8,83963.48,2,0,0,81108.15,0
3173,15603172,Sanchez,758,France,Male,68,8,142596.83,3,0,0,42928.96,1
3174,15603173,Sanchez,640,France,Female,52,9,0.0,2,0,0,166693.95,0
3175,15603174,Lopez,565,France,Male,37,5,0.0,1,1,1,185765.97,0
3176,15603175,Thompson,726,France,Female,46,4,139796.16,1,1,1,58074.61,0
3177,15603176,Robinson,539,Germany,Female,50,9,105056.76,2,1,0,25461.37,0
3178,15603177,Sanchez,553,Spain,Male,51,1,94676.57,1,0,1,161888.11,0
3179,15603178,Miller,644,Spain,Male,45,5,80416.53,2,1,0,198847.92,1
3180,15603179,Smith,795,Germany,Male,42,10,97009.17,2,1,1,120402.63,0
3181,15603180,Rodriguez,711,France,Male,36,8,140797.54,1,1,1,197068.83,0
3182,15603181,Davis,587,France,Male,36,2,0.0,1,1,1,4523.6,0
3183,15603182,Ramirez,488,France,Male,52,2,127435.07,1,1,1,154834.16,0
3184,15603183,Thompson,653,France,Male,56,10,0.0,1,1,0,100668.65,1
3185,15603184,Thompson,674,Germany,Male,42,3,0.0,2,1,1,79237.12,0
3186,15603185,Thomas,643,Germany,Female,72,9,97422.35,2,1,0,116729.22,1
3187,15603186,Anderson,823,France,Male,48,10,0.0,2,1,1,48152.53,0
3188,15603187,Moore,637,France,Female,51,3,0.0,2,0,0,94877.08,0
3189,15603188,Perez,430,Spain,Female,50,0,111044.13,3,1,0,100809.73,1
3190,15603189,Perez,610,Spain,Female,35,1,194479.85,2,1,1,152180.6,0
3191,15603190,Lewis,693,France,Female,65,5,134598.73,2,1,1,112158.34,0
3192,15603191,White,687,Spain,Male,60,4,21379.99,2,1,0,111037.77,0
3193,15603192,Thompson,633,Spain,Male,72,9,0.0,1,0,0,7045.32,1
3194,15603193,Lopez,617,France,Female,71,3,0.0,1,1,1,168685.34,0
3195,15603194,Jackson,458,France,Female,58,9,0.0,2,1,0,88543.62,0
3196,15603195,Thomas,658,Germany,Female,61,8,62374.63,1,1,0,175423.01,1
3197,15603196,Miller,617,Spain,Female,41,1,88617.43,1,1,1,169615.11,0
3198,15603197,Thomas,673,Spain,Male,48,7,0.0,2,0,1,118416.89,0
3199,15603198,Sanchez,697,France,Male,50,10,77393.83,1,1,0,2451.96,1
3200,15603199,Harris,769,France,Male,46,3,0.0,1,1,0,86112.49,0
3201,15603200,Lopez,558,Germany,Male,71,8,174602.19,1,0,0,52622.09,1
3202,15603201,Jones,525,Germany,Male,54,3,116515.52,1,1,1,34158.69,0
3203,15603202,Harris,594,France,Female,44,1,0.0,2,0,1,106941.37,0
3204,15603203,Brown,579,Spain,Female,69,5,17110.64,2,1,1,73547.87,0
3205,15603204,Lewis,570,Germany,Male,55,8,0.0,1,0,0,148029.99,0
3206,15603205,Miller,788,Spain,Female,65,6,119736.6,1,1,0,49263.74,1
3207,15603206,Rodriguez,664,Spain,Female,41,0,112974.23,1,0,0,111140.62,0
3208,15603207,Garcia,839,Germany,Female,56,8,0.0,2,1,0,100987.15,1
3209,15603208,Perez,649,France,Male,44,5,143447.59,1,1,0,81662.45,0
3210,15603209,Hernandez,537,Germany,Female,55,8,83649.67,1,0,0,172344.14,1
3211,15603210,Lopez,572,France,Female,60,1,0.0,2,1,1,121032.17,0
3212,15603211,Johnson,748,Germany,Male,40,10,78815.46,1,0,1,154310.92,0
3213,15603212,Davis,541,France,Male,52,6,49977.15,2,1,1,161965.85,1
3214,15603213,Johnson,703,Germany,Female,41,7,0.0,1,1,1,29643.81,0
3215,15603214,Lee,615,France,Male,66,7,149596.93,1,1,1,14723.73,0
3216,15603215,Lopez,560,France,Male,53,4,0.0,2,1,0,17017.88,0
3217,15603216,Lee,783,France,Male,44,6,179935.21,1,1,0,90973.19,0
3218,15603217,Martin,593,France,Female,46,6,0.0,1,1,1,77232.69,0
3219,15603218,Smith,570,Germany,Female,48,2,106621.42,1,1,0,189958.3,1
3220,15603219,Harris,642,Germany,Male,72,10,32045.73,1,1,1,85622.7,1
3221,15603220,Brown,601,Germany,Male,51,10,0.0,2,1,1,29307.81,0
3222,15603221,Garcia,850,France,Female,63,1,51712.71,1,0,0,32903.73,0
3223,15603222,Gonzalez,751,France,Female,52,4,184782.4,1,1,0,67761.21,0
3224,15603223,Brown,593,France,Female,41,3,22486.14,1,1,1,170018.51,1
3225,15603224,Rodriguez,604,France,Male,46,7,107125.73,2,0,1,138013.78,0
3226,15603225,Moore,456,Spain,Male,56,4,110698.4,2,1,1,153944.26,1
3227,15603226,Rodriguez,663,France,Male,35,8,0.0,2,1,0,62915.75,0
3228,15603227,Taylor,578,France,Female,58,6,151935.56,2,0,1,100509.92,0
3229,15603228,Hernandez,658,France,Male,45,10,0.0,2,1,0,179686.29,0
3230,15603229,Lewis,461,France,Male,54,0,119753.63,1,1,1,135180.37,0
3231,15603230,Lewis,647,Germany,Male,46,1,0.0,2,1,0,140513.96,0
3232,15603231,Garcia,813,Germany,Male,61,7,37111.81,2,0,1,28822.19,1
3233,15603232,Lewis,655,France,Female,53,9,154103.37,2,1,0,128409.55,0
3234,15603233,Taylor,575,France,Male,61,7,0.0,2,0,1,126382.11,0
3235,15603234,Davis,648,France,Female,36,1,49316.08,1,1,1,153192.64,0
3236,15603235,Jackson,643,France,Female,50,6,0.0,2,0,0,133442.72,0
3237,15603236,Jones,850,France,Male,45,7,32476.98,1,1,0,141031.02,1
3238,15603237,Clark,618,Spain,Female,58,3,0.0,2,1,0,161293.93,1
3239,15603238,Davis,534,Germany,Female,65,2,0.0,1,1,1,151066.9,1
3240,15603239,Sanchez,652,Germany,Female,65,9,153522.88,1,0,0,137011.56,1
3241,15603240,Harris,668,France,Male,73,8,0.0,1,0,0,83573.97,1
3242,15603241,Harris,703,France,Male,66,1,238685.03,2,1,0,24591.56,1
3243,15603242,Rodriguez,722,Germany,Male,50,2,84944.07,1,1,1,63613.24,0
3244,15603243,Williams,837,Germany,Female,43,7,132926.63,1,1,1,139984.88,0
3245,15603244,Smith,592,Germany,Female,37,1,0.0,2,0,0,196979.4,0
3246,15603245,Anderson,584,France,Female,42,4,0.0,1,0,1,41228.27,0
3247,15603246,Johnson,472,Germany,Male,36,9,0.0,1,0,0,30514.61,1
3248,15603247,Lopez,713,France,Male,39,7,152562.42,2,1,0,97361.8,0
3249,15603248,Martinez,564,Spain,Female,55,6,0.0,2,0,1,160710.33,0
3250,15603249,Harris,735,Germany,Male,36,3,0.0,2,1,0,12616.44,0
3251,15603250,Lewis,602,Germany,Female,57,9,121219.13,1,1,0,171596.49,1
3252,15603251,Brown,815,France,Male,46,8,0.0,2,1,0,35350.64,0
3253,15603252,Brown,512,Germany,Male,53,1,0.0,2,1,0,108895.32,1
3254,15603253,Lopez,748,France,Male,54,6,115142.58,1,1,1,118101.0,0
3255,15603254,Lewis,736,France,Male,73,6,35087.59,2,1,1,68238.63,0
3256,15603255,Lopez,700,France,Male,54,6,66034.57,2,1,0,104215.02,0
3257,15603256,Clark,542,Germany,Male,40,6,0.0,1,1,0,78534.61,0
3258,15603257,Gonzalez,700,France,Male,43,4,167080.24,2,1,0,184470.04,0
3259,15603258,Hernandez,662,France,Male,53,0,223260.44,1,1,0,4814.99,0
3260,15603259,Lee,474,Spain,Male,49,3,0.0,2,1,0,173654.85,0
3261,15603260,Miller,799,France,Female,54,4,137214.65,1,1,1,15420.84,0
3262,15603261,Miller,616,Germany,Male,57,9,148472.84,1,1,1,108838.83,0
3263,15603262,Perez,792,France,Female,43,3,170249.09,2,1,1,199624.57,0
3264,15603263,Thompson,643,France,Female,58,6,175248.13,1,1,1,41462.99,0
3265,15603264,Rodriguez,744,Spain,Female,59,1,0.0,4,0,0,85355.47,1
3266,15603265,Miller,567,France,Female,54,1,190457.29,1,1,0,90097.89,0
3267,15603266,Wilson,670,France,Male,79,10,106871.65,2,1,0,134725.05,0
3268,15603267,Martin,663,Germany,Female,37,1,0.0,2,1,0,62531.83,0
3269,15603268,Lewis,618,Germany,Female,76,9,0.0,2,1,1,164942.42,1
3270,15603269,Williams,566,Germany,Female,48,2,0.0,1,1,1,42110.55,0
3271,15603270,Martinez,355,France,Male,45,4,126334.8,1,0,0,199162.97,0
3272,15603271,Lopez,568,France,Male,58,9,0.0,2,0,0,168167.04,0
3273,15603272,Garcia,717,Germany,Male,46,8,96534.21,1,1,1,6776.84,0
3274,15603273,Williams,516,Germany,Female,64,2,78111.14,2,0,1,140117.87,1
3275,15603274,Moore,535,Spain,Female,48,5,58682.89,1,1,0,30188.71,0
3276,15603275,Lewis,512,Spain,Male,67,5,0.0,2,1,1,162677.9,0
3277,15603276,Perez,670,Spain,Male,42,10,75467.09,2,1,0,75730.63,0
3278,15603277,Martin,564,France,Female,56,5,69932.62,1,1,1,51095.33,0
3279,15603278,Thompson,767,France,Male,44,4,0.0,2,1,0,18689.11,0
3280,15603279,Anderson,720,Spain,Female,57,1,88836.17,3,1,0,54397.16,1
3281,15603280,Moore,669,France,Female,38,0,0.0,2,1,0,11457.44,0
3282,15603281,Taylor,679,France,Male,39,4,0.0,2,1,0,198016.92,0
3283,15603282,Jackson,576,Spain,Female,48,7,0.0,2,0,1,52660.41,0
3284,15603283,Sanchez,576,Spain,Male,67,9,136569.04,1,1,0,60249.29,1
3285,15603284,Taylor,718,France,Female,37,4,62568.73,2,0,0,70660.79,0
3286,15603285,Lewis,737,France,Female,70,2,40490.59,1,1,1,84939.65,0
3287,15603286,Lewis,717,France,Female,57,2,104655.91,2,1,1,66564.03,0
3288,15603287,Lewis,604,Spain,Male,66,1,0.0,1,0,1,116591.7,0
3289,15603288,Robinson,612,Spain,Male,53,6,53411.77,1,1,1,122028.03,0
3290,15603289,Lee,560,France,Male,54,1,0.0,1,0,1,9082.36,0
3291,15603290,White,723,France,Male,50,5,0.0,2,1,1,112546.8,0
3292,15603291,Lee,461,Spain,Male,49,7,119572.03,2,1,0,174331.72,0
3293,15603292,Harris,438,France,Female,61,7,0.0,1,1,0,31338.44,1
3294,15603293,Davis,457,Germany,Male,42,1,63268.13,4,1,1,66079.0,1
3295,15603294,Wilson,444,Spain,Male,52,5,201268.78,2,0,0,121434.66,0
3296,15603295,Moore,780,France,Male,37,2,166088.99,1,1,0,124985.26,0
3297,15603296,Davis,725,Germany,Female,39,8,0.0,2,1,0,14806.17,1
3298,15603297,Clark,534,France,Female,51,2,0.0,2,0,1,85241.04,0
3299,15603298,Martin,639,France,Male,45,0,0.0,1,0,1,7566.19,0
3300,15603299,Thompson,790,Spain,Male,50,8,210306.95,2,1,0,185663.75,0
3301,15603300,Miller,698,France,Male,43,7,12962.39,1,1,0,135398.55,0
3302,15603301,Johnson,850,Spain,Male,60,1,170734.39,2,1,0,19974.27,0
3303,15603302,Thomas,639,Germany,Male,40,9,114355.62,2,1,0,130562.87,0
3304,15603303,Anderson,587,France,Female,77,9,0.0,1,1,1,19750.87,1
3305,15603304,Moore,546,France,Female,69,2,0.0,1,1,1,11270.97,0
3306,15603305,Lopez,652,France,Female,58,6,155473.24,1,1,0,43062.6,0
3307,15603306,Martin,739,France,Male,39,5,0.0,2,0,1,194583.18,0
3308,15603307,Wilson,659,France,Female,50,7,0.0,2,0,1,115831.49,0
3309,15603308,Sanchez,615,France,Female,59,9,120688.48,1,0,1,65092.1,0
3310,15603309,Miller,770,France,Male,65,4,0.0,2,1,1,13142.15,0
3311,15603310,Jackson,700,Germany,Male,65,4,139648.66,1,1,1,3130.69,0
3312,15603311,Jackson,639,Germany,Male,62,1,76496.54,2,0,0,178840.03,1
3313,15603312,Garcia,576,Germany,Male,34,5,150955.99,2,1,0,96083.64,0
3314,15603313,Anderson,625,France,Female,42,10,105205.35,1,1,0,18255.0,1
3315,15603314,Garcia,695,France,Male,62,10,126357.3,2,0,1,109043.5,0
3316,15603315,Brown,575,Germany,Male,46,4,0.0,1,1,0,13055.47,0
3317,15603316,Ramirez,531,France,Male,56,8,128033.61,1,1,1,81066.56,0
3318,15603317,Sanchez,603,France,Male,78,2,112887.75,1,1,0,182156.9,0
3319,15603318,Lee,645,Spain,Female,46,4,0.0,2,1,1,185248.19,0
3320,15603319,Brown,780,Spain,Female,66,2,234903.57,1,1,0,190484.75,0
3321,15603320,Taylor,538,Germany,Female,57,8,0.0,2,1,1,28556.4,0
3322,15603321,Johnson,671,France,Male,88,8,94272.43,1,0,1,36681.36,0
3323,15603322,Thomas,623,Spain,Female,57,9,146159.55,1,0,0,170196.07,0
3324,15603323,Smith,628,Germany,Male,46,6,0.0,1,1,1,20513.56,0
3325,15603324,Clark,797,Spain,Female,52,0,0.0,1,1,0,2489.03,0
3326,15603325,Jackson,657,Spain,Male,42,8,44170.48,1,0,1,139816.43,0
3327,15603326,Martin,562,Spain,Male,61,8,70313.89,2,0,1,88725.21,0
3328,15603327,Martinez,735,Germany,Male,48,9,21673.67,1,0,1,160717.01,1
3329,15603328,Miller,728,France,Male,52,4,85099.47,2,0,1,31024.06,0
3330,15603329,Thomas,553,Germany,Female,67,10,98386.08,2,1,0,87401.06,0
3331,15603330,Johnson,535,Germany,Male,41,1,0.0,4,1,0,163361.26,1
3332,15603331,Smith,689,Germany,Male,65,0,164858.97,1,1,0,51742.45,1
3333,15603332,Miller,646,France,Male,38,1,21017.2,1,1,0,94242.45,0
3334,15603333,Lopez,604,France,Female,51,3,0.0,1,1,1,124443.74,0
3335,15603334,Moore,751,Spain,Male,58,3,31504.72,2,1,1,144010.17,0
3336,15603335,Anderson,593,Germany,Female,62,0,166360.75,2,1,1,104479.81,1
3337,15603336,Williams,690,Spain,Female,41,7,0.0,1,1,1,144583.78,0
3338,15603337,Anderson,762,Spain,Male,79,9,0.0,1,1,0,150588.85,0
3339,15603338,Perez,617,Germany,Male,58,7,157329.28,1,1,1,166671.3,0
3340,15603339,Martinez,474,Germany,Male,62,7,121885.28,1,1,0,181616.0,0
3341,15603340,Hernandez,611,Spain,Female,58,4,29552.68,2,1,1,140583.7,0
3342,15603341,Thomas,668,Germany,Male,42,9,126567.53,1,1,1,179441.12,0
3343,15603342,Johnson,746,Germany,Male,45,1,0.0,1,0,0,12135.88,1
3344,15603343,Clark,599,France,Female,70,3,0.0,3,1,1,26011.15,0
3345,15603344,Martinez,815,France,Female,70,0,45269.1,1,1,0,80874.7,0
3346,15603345,Ramirez,525,Germany,Male,35,9,58150.93,1,1,0,33293.3,0
3347,15603346,Williams,665,France,Male,61,0,13750.59,2,1,1,67483.22,0
3348,15603347,Davis,627,France,Male,51,9,114670.42,2,1,1,176718.86,0
3349,15603348,Miller,779,France,Male,58,2,236170.38,1,1,1,24544.1,0
3350,15603349,Jones,508,France,Male,55,3,95441.91,2,1,1,127131.67,0
3351,15603350,Rodriguez,690,France,Female,54,10,53955.9,1,1,1,45789.12,0
3352,15603351,Martinez,626,France,Male,43,10,0.0,1,0,1,98365.92,0
3353,15603352,Sanchez,796,Spain,Female,66,2,0.0,1,1,1,79202.55,1
3354,15603353,Harris,570,Germany,Female,46,10,0.0,1,1,0,172893.84,0
3355,15603354,Davis,689,France,Male,51,2,134288.86,2,0,1,107796.9,0
3356,15603355,Anderson,569,France,Female,44,7,74615.59,1,1,0,164309.52,1
3357,15603356,Thompson,668,Germany,Male,52,3,0.0,1,1,1,82815.73,1
3358,15603357,Robinson,614,France,Female,40,2,107998.07,2,1,1,132343.93,0
3359,15603358,Thompson,613,Spain,Female,47,8,79629.96,1,0,0,181832.95,1
3360,15603359,Jackson,459,Germany,Male,65,0,137583.53,3,1,0,29741.8,1
3361,15603360,Harris,689,Spain,Male,41,7,51226.27,1,1,1,112051.71,0
3362,15603361,Robinson,546,France,Male,61,4,0.0,2,0,0,126413.47,1
3363,15603362,Martinez,542,Germany,Male,39,7,13672.62,2,1,0,123446.72,1
3364,15603363,Gonzalez,500,France,Male,45,9,0.0,1,1,1,110285.26,0
3365,15603364,Moore,548,Spain,Male,46,2,0.0,2,0,0,158920.86,0
3366,15603365,Lopez,698,Germany,Female,64,5,58859.34,1,1,0,11753.43,1
3367,15603366,Hernandez,693,France,Male,70,10,89994.51,2,1,0,132586.89,0
3368,15603367,Wilson,713,France,Female,49,6,0.0,2,1,1,177248.64,0
3369,15603368,Gonzalez,551,France,Female,40,7,0.0,2,1,0,182980.6,0
3370,15603369,Harris,670,Germany,Male,47,6,0.0,1,0,0,35522.88,0
3371,15603370,Miller,590,France,Female,48,6,145461.4,1,1,1,120352.19,1
3372,15603371,Jackson,741,Germany,Male,47,1,0.0,2,0,0,56069.9,0
3373,15603372,Johnson,690,France,Male,51,2,19488.64,1,1,1,144580.73,0
3374,15603373,Thompson,586,Germany,Female,44,5,101709.99,1,1,0,15903.52,0
3375,15603374,Jones,749,Spain,Male,40,2,163100.62,2,0,0,24792.08,0
3376,15603375,Smith,698,Spain,Female,36,8,0.0,1,0,0,134510.39,0
3377,15603376,White,516,Spain,Female,63,8,0.0,2,0,1,109612.06,0
3378,15603377,Anderson,489,France,Female,54,5,0.0,1,1,0,179197.44,1
3379,15603378,Thomas,520,France,Female,60,0,2560.97,1,0,0,5659.05,0
3380,15603379,Robinson,808,Germany,Female,58,0,0.0,2,1,0,140312.83,1
3381,15603380,Sanchez,552,France,Male,52,3,169660.69,1,1,0,142840.05,0
3382,15603381,Garcia,830,France,Male,51,10,87328.97,2,1,1,165847.37,0
3383,15603382,Rodriguez,547,France,Female,78,9,0.0,2,1,0,154114.99,1
3384,15603383,Thompson,537,France,Male,47,7,137983.58,2,1,1,103797.79,0
3385,15603384,Lopez,734,France,Male,53,2,0.0,1,1,1,57397.28,0
3386,15603385,Ramirez,738,Spain,Male,48,3,209358.35,2,0,0,78836.21,0
3387,15603386,Miller,703,France,Female,42,10,72473.03,1,1,0,104517.49,0
3388,15603387,Lewis,714,Germany,Male,87,5,134841.73,1,0,1,910.2,0
3389,15603388,Hernandez,573,France,Female,59,10,0.0,2,1,1,18105.04,0
3390,15603389,Davis,729,Germany,Male,45,8,0.0,1,0,0,108461.04,0
3391,15603390,Brown,673,France,Male,43,3,135285.51,2,1,1,199168.27,0
3392,15603391,Robinson,614,Spain,Male,61,2,93285.71,1,1,1,75305.49,0
3393,15603392,Thompson,659,Spain,Male,67,9,64910.73,2,0,0,159756.27,0
3394,15603393,Jackson,751,France,Female,41,9,82020.78,2,1,0,76418.94,1
